구분,계정과목,기수,연도,금액(백만원)
별도 재무상태표,"유동자산",제 26 기,2025,134187
별도 재무상태표,"비유동자산",제 26 기,2025,143894
별도 재무상태표,"자산총계",제 26 기,2025,278081
별도 재무상태표,"유동부채",제 26 기,2025,154303
별도 재무상태표,"비유동부채",제 26 기,2025,35834
별도 재무상태표,"부채총계",제 26 기,2025,190137
별도 재무상태표,"자본총계",제 26 기,2025,87944
별도 재무상태표,"자본과부채총계",제 26 기,2025,278081
별도 재무상태표,"유동자산",제 25 기,2024,246847
별도 재무상태표,"비유동자산",제 25 기,2024,111074
별도 재무상태표,"자산총계",제 25 기,2024,357921
별도 재무상태표,"유동부채",제 25 기,2024,232864
별도 재무상태표,"비유동부채",제 25 기,2024,37043
별도 재무상태표,"부채총계",제 25 기,2024,269907
별도 재무상태표,"자본총계",제 25 기,2024,88014
별도 재무상태표,"자본과부채총계",제 25 기,2024,357921
별도 재무상태표,"유동자산",제 24 기,2023,175687
별도 재무상태표,"비유동자산",제 24 기,2023,61314
별도 재무상태표,"자산총계",제 24 기,2023,237001
별도 재무상태표,"유동부채",제 24 기,2023,155741
별도 재무상태표,"비유동부채",제 24 기,2023,1257
별도 재무상태표,"부채총계",제 24 기,2023,156998
별도 재무상태표,"자본총계",제 24 기,2023,80003
별도 재무상태표,"자본과부채총계",제 24 기,2023,237001
별도 재무상태표,"유동자산",제 23 기,2022,102744
별도 재무상태표,"비유동자산",제 23 기,2022,40137
별도 재무상태표,"자산총계",제 23 기,2022,142881
별도 재무상태표,"유동부채",제 23 기,2022,78210
별도 재무상태표,"비유동부채",제 23 기,2022,36
별도 재무상태표,"부채총계",제 23 기,2022,78246
별도 재무상태표,"자본총계",제 23 기,2022,64635
별도 재무상태표,"자본과부채총계",제 23 기,2022,142881
별도 재무상태표,"유동자산",제 22 기,2021,68792
별도 재무상태표,"비유동자산",제 22 기,2021,29889
별도 재무상태표,"자산총계",제 22 기,2021,98681
별도 재무상태표,"유동부채",제 22 기,2021,38271
별도 재무상태표,"비유동부채",제 22 기,2021,73
별도 재무상태표,"부채총계",제 22 기,2021,38344
별도 재무상태표,"자본총계",제 22 기,2021,60337
별도 재무상태표,"자본과부채총계",제 22 기,2021,98681
연결 재무상태표,"유동자산",제 26 기,2025,134492
연결 재무상태표,"비유동자산",제 26 기,2025,193025
연결 재무상태표,"자산총계",제 26 기,2025,327517
연결 재무상태표,"유동부채",제 26 기,2025,206734
연결 재무상태표,"비유동부채",제 26 기,2025,59472
연결 재무상태표,"부채총계",제 26 기,2025,266206
