구분,언어,카테고리,제목,작성일,조회수,공지고정,전체공지,팝업,팝업시작,팝업종료,첨부파일,출처URL,본문파일
ESG,ENG,환경,"Waste Generation Status (2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/ENG_01.html
ESG,ENG,환경,"Energy Consumption and Intensity (2022–2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/ENG_02.html
ESG,ENG,환경,"Environmental Management System (ISO 14001:2015)",2025-12-23,0,N,N,N,,,"",,posts/ESG/ENG_03.html
ESG,ENG,환경,"Water usage (2022-2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/ENG_04.html
ESG,ENG,환경,"Greenhouse gas emissions and intensity (2022–2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/ENG_05.html
ESG,KOR,환경,"폐기물 발생 현황 (2024)",2025-12-23,1,N,N,N,,,"",,posts/ESG/KOR_01.html
ESG,KOR,환경,"에너지 소비량 및 집약도 (2022~2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/KOR_02.html
ESG,KOR,환경,"환경경영시스템 (ISO 14001:2015)",2025-12-23,0,N,N,N,,,"",,posts/ESG/KOR_03.html
ESG,KOR,환경,"용수 사용량 (2022~2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/KOR_04.html
ESG,KOR,환경,"온실가스 배출량 및 집약도 (2022~2024)",2025-12-23,0,N,N,N,,,"",,posts/ESG/KOR_05.html
NOTICE,ENG,,"2026.05.15 Do not show popups again test",2026-05-14,0,Y,Y,Y,2026-05-15,2026-05-29,"",,posts/NOTICE/ENG_01.html
NOTICE,ENG,,"2026.05.14 Do not show popups again test",2026-05-14,0,Y,Y,Y,2026-05-14,2026-05-15,"",,posts/NOTICE/ENG_02.html
NOTICE,ENG,,"Public Notice Reporting Merger Details",2025-12-23,4,N,N,Y,2026-05-14,2026-05-15,"",,posts/NOTICE/ENG_03.html
NOTICE,ENG,,"Public Notice of Merger and Submission of Share Certificates",2025-12-23,3,N,N,N,,,"",,posts/NOTICE/ENG_04.html
NOTICE,ENG,,"Notice of Small-Scale Merger",2025-12-23,2,N,N,N,,,"",,posts/NOTICE/ENG_05.html
NOTICE,KOR,,"폰트 크기 확인",2026-05-15,0,N,N,Y,2026-05-15,2026-05-19,"",,posts/NOTICE/KOR_01.html
NOTICE,KOR,,"2026.05.15 팝업 다시 보지 않기 테스트",2026-05-14,6,N,N,Y,2026-05-15,2026-05-29,"",,posts/NOTICE/KOR_02.html
NOTICE,KOR,,"2026.05.14 팝업 다시 보지 않기 테스트",2026-05-14,9,Y,Y,Y,2026-05-15,2026-05-15,"",,posts/NOTICE/KOR_03.html
NOTICE,KOR,,"합병종료보고 공고",2025-12-17,36,N,N,Y,2026-05-14,2026-05-15,"ev2_01_3d.png",,posts/NOTICE/KOR_04.html
NOTICE,KOR,,"채권자 이의제출 공고",2025-12-17,21,N,N,N,,,"",,posts/NOTICE/KOR_05.html
NOTICE,KOR,,"소규모합병 공고 : 수정 OK",2025-12-17,10,N,N,N,,,"ev_formation_3d_new.png; ev4_01.png",,posts/NOTICE/KOR_06.html
PRESS,ENG,,"(Top 1% Tool) The Vibe Coding Tool Googlers Use: ""AntiGravity"" Released! The AI Agent is Insane",2025-12-23,7,N,N,N,,,"",https://www.youtube.com/watch?v=JvKo0WvwVEg,posts/PRESS/ENG_01.html
PRESS,ENG,,"2 Must-Have Chrome Extensions for NotebookLM Users (Free!)",2025-12-23,3,N,N,N,,,"",https://www.youtube.com/watch?v=pEJAXLUEbYQ,posts/PRESS/ENG_02.html
PRESS,KOR,,"노트북LM 사용자라면 필수 크롬 확장 프로그램 2종(무료!)",2025-12-18,10,N,Y,Y,2026-05-14,2026-05-15,"",https://www.youtube.com/watch?v=pEJAXLUEbYQ,posts/PRESS/KOR_01.html
PRESS,KOR,,"(상위1%툴) ""안티그래비티"" 출시! AI 에이전트 성능이 미쳤습니다",2025-12-17,12,N,N,N,,,"business_energy_main.png",https://www.youtube.com/watch?v=JvKo0WvwVEg,posts/PRESS/KOR_02.html
